method,time_days,skill_mean,skill_std
Traditional-NPZ,5.166666666666666,0.9243917570236639,0.056010080142276306
Traditional-NPZ,5.173611111111111,0.9245659575445062,0.055887491030593255
Traditional-NPZ,5.180555555555555,0.9247397418527249,0.05576513831492284
Traditional-NPZ,5.1875,0.9249130848325571,0.05564299719957846
Traditional-NPZ,5.194444444444444,0.9250860057320519,0.05552109475738455
Traditional-NPZ,5.201388888888888,0.9252585081165872,0.05539943656854281
Traditional-NPZ,5.208333333333333,0.9254305827032615,0.05527801285801817
Traditional-NPZ,5.215277777777778,0.925602216303671,0.05515681098274755
Traditional-NPZ,5.222222222222222,0.9257734122797027,0.05503583193930675
Traditional-NPZ,5.229166666666666,0.925944192926696,0.054915092594134504
Traditional-NPZ,5.236111111111111,0.9261145432703868,0.05479458290187373
Traditional-NPZ,5.243055555555555,0.9262844437791525,0.05467429017348375
Traditional-NPZ,5.25,0.9264539073796437,0.054554226407248926
Traditional-NPZ,5.256944444444444,0.9266229625832825,0.0544344193213926
Traditional-NPZ,5.263888888888888,0.9267915733308153,0.05431483601709276
Traditional-NPZ,5.270833333333333,0.9269597435961231,0.05419547604839165
Traditional-NPZ,5.277777777777778,0.9271274809336415,0.05407634583802519
Traditional-NPZ,5.284722222222222,0.9272947833252421,0.053957450870049904
Traditional-NPZ,5.291666666666666,0.9274616444261962,0.05383878492673862
Traditional-NPZ,5.298611111111111,0.9276280537703695,0.05372033886829007
Traditional-NPZ,5.305555555555555,0.9277940289410824,0.05360212616203814
Traditional-NPZ,5.3125,0.9279595823686517,0.05348416096344084
Traditional-NPZ,5.319444444444444,0.9281247456929926,0.05336646931847824
Traditional-NPZ,5.326388888888888,0.9282894892020435,0.0532490303955645
Traditional-NPZ,5.333333333333333,0.9284538150071406,0.05313184576112109
Traditional-NPZ,5.340277777777778,0.9286177087521391,0.053014903015652766
Traditional-NPZ,5.347222222222222,0.928781155986728,0.0528981896179234
Traditional-NPZ,5.354166666666666,0.9289441798847036,0.052781725133894106
Traditional-NPZ,5.361111111111111,0.929106775731138,0.05266550404865579
Traditional-NPZ,5.368055555555555,0.9292689532789409,0.05254953822996511
Traditional-NPZ,5.375,0.9294307066968328,0.052433825822697844
Traditional-NPZ,5.381944444444444,0.9295920489781762,0.052318374300760105
Traditional-NPZ,5.388888888888888,0.9297529802932797,0.05220318043069758
Traditional-NPZ,5.395833333333333,0.9299134900717836,0.052088237765266075
Traditional-NPZ,5.402777777777778,0.9300735703077411,0.051973542392554625
Traditional-NPZ,5.409722222222222,0.9302332360068499,0.05185910542189545
Traditional-NPZ,5.416666666666666,0.9303924846119038,0.05174492371618014
Traditional-NPZ,5.423611111111111,0.9305512976753585,0.051630982963866624
Traditional-NPZ,5.430555555555555,0.9307097094201766,0.051517310817188515
Traditional-NPZ,5.4375,0.9308677072929911,0.051403899465128466
Traditional-NPZ,5.444444444444444,0.9310252861821244,0.05129074456389698
Traditional-NPZ,5.451388888888888,0.9311824544318179,0.05117785473470396
Traditional-NPZ,5.458333333333333,0.9313391951377278,0.0510652143664953
Traditional-NPZ,5.465277777777778,0.9314955143883714,0.05095282864008095
Traditional-NPZ,5.472222222222222,0.9316514177639641,0.050840701472118215
Traditional-NPZ,5.479166666666666,0.9318069028646798,0.0507288315326253
Traditional-NPZ,5.486111111111111,0.9319619636853647,0.05061721758356075
Traditional-NPZ,5.493055555555555,0.9321166074751119,0.050505864398450326
Traditional-NPZ,5.5,0.9322708349614007,0.05039477021876937
Traditional-NPZ,5.506944444444444,0.9324246397279873,0.05028393002378629
Traditional-NPZ,5.513888888888888,0.9325780337815611,0.05017335360059351
Traditional-NPZ,5.520833333333333,0.9327310078279775,0.050063038447517985
Traditional-NPZ,5.527777777777778,0.932883565927945,0.04995298570704753
Traditional-NPZ,5.534722222222222,0.9330357115687457,0.049843200131931574
Traditional-NPZ,5.541666666666666,0.9331874443972235,0.049733679528436
Traditional-NPZ,5.548611111111111,0.9333387622840064,0.04962441556104809
Traditional-NPZ,5.555555555555555,0.9334896825016612,0.04951542557954562
Traditional-NPZ,5.5625,0.9336401857124413,0.0494066899637656
Traditional-NPZ,5.569444444444444,0.9337902627784651,0.049298202901619154
Traditional-NPZ,5.576388888888888,0.9339399299881934,0.049189979417380014
Traditional-NPZ,5.583333333333333,0.9340891986698913,0.04908202957931386
Traditional-NPZ,5.590277777777778,0.9342380597952754,0.04897434794389963
Traditional-NPZ,5.597222222222222,0.9343865109638421,0.0488669298075005
Traditional-NPZ,5.604166666666666,0.9345345443259078,0.0487597733429582
Traditional-NPZ,5.611111111111111,0.9346821403686834,0.04865286529190465
Traditional-NPZ,5.618055555555555,0.9348293160863904,0.048546216561957324
Traditional-NPZ,5.625,0.9349760940032928,0.048439838564348074
Traditional-NPZ,5.631944444444444,0.9351224652766739,0.048333721895536925
Traditional-NPZ,5.638888888888888,0.9352684098199958,0.04822785552615662
Traditional-NPZ,5.645833333333333,0.9354139254624547,0.048122237141523985
Traditional-NPZ,5.652777777777778,0.9355590400665666,0.048016886121645654
Traditional-NPZ,5.659722222222222,0.9357037653587225,0.047911812786655454
Traditional-NPZ,5.666666666666666,0.9358480967565971,0.04780701701890153
Traditional-NPZ,5.673611111111111,0.9359920393853138,0.047702497026421466
Traditional-NPZ,5.680555555555555,0.936135575952491,0.04759823777786192
Traditional-NPZ,5.6875,0.9362787138046784,0.04749424167278447
Traditional-NPZ,5.694444444444444,0.9364214660443072,0.04739052586195775
Traditional-NPZ,5.701388888888888,0.9365638283899791,0.047287091340689404
Traditional-NPZ,5.708333333333333,0.9367058006913898,0.0471839310192144
Traditional-NPZ,5.715277777777778,0.9368473711612896,0.04708103355099456
Traditional-NPZ,5.722222222222222,0.9369885314653799,0.04697839089594227
Traditional-NPZ,5.729166666666666,0.9371292950113104,0.04687601724298177
Traditional-NPZ,5.736111111111111,0.9372696499172649,0.046773909509377536
Traditional-NPZ,5.743055555555555,0.9374096185835715,0.04667207437462462
Traditional-NPZ,5.75,0.9375491849938368,0.04657049275748987
Traditional-NPZ,5.756944444444444,0.9376883379086418,0.04646916009939167
Traditional-NPZ,5.763888888888888,0.9378270926125806,0.04636809071688245
Traditional-NPZ,5.770833333333333,0.9379654497152199,0.04626728306563023
Traditional-NPZ,5.777777777777778,0.9381034039707441,0.04616674004391488
Traditional-NPZ,5.784722222222222,0.9382409628445717,0.046066466167599185
Traditional-NPZ,5.791666666666666,0.9383781325907663,0.045966461605953676
Traditional-NPZ,5.798611111111111,0.9385149284042809,0.04586673774685209
Traditional-NPZ,5.805555555555555,0.9386513422914737,0.04576728646579844
Traditional-NPZ,5.8125,0.9387873617411139,0.04566809993793025
Traditional-NPZ,5.819444444444444,0.9389229839782645,0.04556917143807708
Traditional-NPZ,5.826388888888888,0.9390582189508908,0.0454705116559212
Traditional-NPZ,5.833333333333333,0.939193073708176,0.045372125652979566
Traditional-NPZ,5.840277777777778,0.9393275322455713,0.04527399875246274
Traditional-NPZ,5.847222222222222,0.9394616055510379,0.045176140831696916
Traditional-NPZ,5.854166666666666,0.9395953008162542,0.04507855596616701
Traditional-NPZ,5.861111111111111,0.9397285950107879,0.044981225242263764
Traditional-NPZ,5.868055555555555,0.939861493656001,0.04488415187575861
Traditional-NPZ,5.875,0.9399940121252561,0.044787356463706
Traditional-NPZ,5.881944444444444,0.9401261456553486,0.04469082639962566
Traditional-NPZ,5.888888888888888,0.9402578956041423,0.04459456442086116
Traditional-NPZ,5.895833333333333,0.940389252602404,0.04449855787385789
Traditional-NPZ,5.902777777777778,0.940520229617936,0.044402816073141664
Traditional-NPZ,5.909722222222222,0.9406508306163679,0.044307344211339965
Traditional-NPZ,5.916666666666666,0.9407810490552919,0.04421213393595107
Traditional-NPZ,5.923611111111111,0.9409108661642784,0.0441171711822229
Traditional-NPZ,5.930555555555555,0.9410402975164696,0.044022469792231754
Traditional-NPZ,5.9375,0.9411693471377587,0.04392804059348299
Traditional-NPZ,5.944444444444444,0.9412980268480406,0.04383388528545645
Traditional-NPZ,5.951388888888888,0.9414263355676461,0.04374000088558207
Traditional-NPZ,5.958333333333333,0.9415542689714714,0.043646384628956036
Traditional-NPZ,5.965277777777778,0.9416818213818425,0.04355302715235754
Traditional-NPZ,5.972222222222222,0.9418089932376892,0.04345992709145484
