dataset,method,index,jo_b,jb_b,J_total_b,jo_a,jb_a,J_total_a,misfitb,misfita,Improvement,pct_drop_J,pct_drop_Jo,pct_drop_Jb,cg_iterations,converged,exit_code,runtime,log_runtime,jo_jb_ratio,log_jo_jb_ratio,pct_drop_J_100
irreg_sparse,Traditional-NPZ,2805,1033.6387452645315,0.0,516.8193726322658,609.0327658956675,15.497364747164674,312.26506532141605,3.3892762227657753,2.523173720684427,25.55420228849263,0.3957945815169683,0.410787599936763,,43,1,0,9.918839693069458,0.9964608713104177,39.29911800050349,1.594382803509962,39.57945815169683
irreg_sparse,Traditional-NPZ,2806,1428.933833716645,0.0,714.4669168583225,713.0627211756224,43.15177704295864,378.10724910929054,5.2746233711401045,3.6830885323207396,30.173430913141313,0.47078410464137904,0.5009826876861385,,42,1,0,9.718756437301636,0.9876106983656997,16.524527378461173,1.218129046986022,47.0784104641379
irreg_sparse,Traditional-NPZ,2807,5029.814050471617,0.0,2514.9070252358083,3290.1263905694886,21.3838068209402,1655.7550986952144,6.953326394830466,5.563396961108827,19.98941736368076,0.34162373317162137,0.3458751441793375,,42,1,0,9.743821382522583,0.9887293141541722,153.8606487665992,2.187127559345457,34.162373317162135
irreg_sparse,Traditional-NPZ,2808,699.893583942312,0.0,349.946791971156,405.3978124791654,23.87236587153338,214.63508917534938,3.6606673299285193,2.778159686694753,24.107835093854284,0.3866636468750928,0.42077221197589965,,42,1,0,9.75432014465332,0.9891970053845888,16.981886699490573,1.229985939009174,38.66636468750928
irreg_sparse,Traditional-NPZ,2809,1125.7150697352176,0.0,562.8575348676088,647.631786633422,17.902480883762948,332.7671337585925,3.855499433568051,2.9310576037267877,23.977226446788595,0.40878976802386857,0.4246929760070164,,42,1,0,9.8640615940094,0.994055775454553,36.175532924087975,1.5584149376980796,40.87897680238686
irreg_sparse,Traditional-NPZ,2810,1069.6399915256889,0.0,534.8199957628444,850.8063797051994,33.17045083431855,441.988415269759,4.4035290183221765,3.7966940910652682,13.780650127022968,0.17357537345004168,0.20458622859487002,,42,1,0,9.924053192138672,0.996689083390417,25.649527163644844,1.4090793635175176,17.357537345004168
irreg_sparse,Traditional-NPZ,2811,619.4317754075253,0.0,309.71588770376263,397.4581843365716,15.493717413868694,206.47595087522015,3.636914791065723,2.9292085977220985,19.458970968529233,0.333337555247697,0.3583503460488717,,42,1,0,10.049294233322144,1.0021355621210208,25.65286133209064,1.4091358135582368,33.3337555247697
irreg_sparse,Traditional-NPZ,2812,1114.0708593532388,0.0,557.0354296766194,698.678290141316,11.484643073825078,355.0814666075705,3.33839681168465,2.5665781080115835,23.119441672471073,0.3625513787988153,0.37286009747447685,,42,1,0,10.032054901123047,1.0013899002001128,60.8358732308965,1.7841597462449328,36.25513787988153
irreg_sparse,Traditional-NPZ,2813,1469.6090180892245,0.0,734.8045090446122,852.6113828370042,51.94913322811941,452.2802580325618,5.196484671020887,4.072646021183445,21.626902049855477,0.3844890001823567,0.4198379485003681,,41,1,0,9.79753589630127,0.9911168633251342,16.41242750082106,1.2151728206778618,38.44890001823567
irreg_sparse,Traditional-NPZ,2814,4813.559953002614,0.0,2406.779976501307,2842.0160730198504,36.6689136511978,1439.342493335524,7.9606830515989575,6.058590036374706,23.8935905737662,0.4019634086253823,0.4095812453219678,,42,1,0,9.824580669403076,0.9923140229812317,77.50477966305978,1.8893284859551482,40.196340862538236
irreg_sparse,Traditional-NPZ,2815,1378.5828928551286,0.0,689.2914464275643,835.9944140506741,17.321056701232553,426.65773537595334,4.212716145173001,3.23332861367019,23.248362760567414,0.38101983190532807,0.3935842245080533,,42,1,0,10.288874864578247,1.012367885275397,48.264631221441896,1.6836289921980472,38.101983190532806
irreg_sparse,Traditional-NPZ,2816,1288.5379727525483,0.0,644.2689863762741,719.2809560330949,19.1577843763968,369.2193702047458,3.8078170474412456,2.741832390213963,27.99463955190801,0.42691736213869275,0.4417852083190209,,43,1,0,10.14145040512085,1.0061000711605108,37.545101348947185,1.5745532809965481,42.69173621386928
irreg_sparse,Traditional-NPZ,2817,5882.970738674464,0.0,2941.485369337232,3525.1542533217125,34.711736433456934,1779.9329948775846,7.820054310814153,5.913662991387781,24.378236309562094,0.39488633415211083,0.40078670965547053,,43,1,0,10.100177526473999,1.0043290072569475,101.55511119645371,2.006701786023004,39.48863341521108
irreg_sparse,Traditional-NPZ,2818,9890.712412740688,0.0,4945.356206370344,6249.133067796632,46.655742626470435,3147.894405211551,10.420719451226496,8.109993863687006,22.1743383300423,0.3634645768981006,0.3681817034992513,,40,1,0,9.465280532836914,0.976133490149534,133.94134818145935,2.12691466599647,36.34645768981006
irreg_sparse,Traditional-NPZ,2819,871.5802316105382,0.0,435.7901158052691,579.3887603130428,19.002077474199282,299.195418893621,3.7984956146439113,2.9751247521181066,21.67623570109061,0.3134414755122276,0.33524334387159427,,44,1,0,10.136282920837402,1.005878723939682,30.49081139152956,1.4841689815374133,31.34414755122276
irreg_sparse,Traditional-NPZ,2820,502.4064216274228,0.0,251.2032108137114,393.64323478772394,17.33349716747886,205.4883659776014,3.0074520887920184,2.5769551546690908,14.314340558483918,0.181983521182026,0.21648446786843825,,42,1,0,9.772939205169678,0.9900251971493534,22.709971968396435,1.3562165981572842,18.1983521182026
irreg_sparse,Traditional-NPZ,2821,644.208314262662,0.0,322.104157131331,446.74306458846144,15.557042644253022,231.15005361635724,3.180356742417037,2.505546089598425,21.218080469355243,0.28237482038423123,0.30652390741062124,,42,1,0,9.805919408798218,0.9914883196201277,28.716451757847064,1.4581307768938552,28.237482038423124
irreg_sparse,Traditional-NPZ,2822,2413.417976393564,0.0,1206.708988196782,1686.3497288617714,11.765700475681838,849.0577146687266,4.707184159741433,3.9027822787840325,17.0888126246921,0.2963856878720224,0.3012608071388738,,42,1,0,9.797491788864136,0.9911149081743821,143.3276099750487,2.1563298589584248,29.638568787202242
