method,dataset,metric,value
PI-NPZ,baseline,Computational Time (s),1.3141627311706543
PI-NPZ,baseline,Computational Time (s),1.173720121383667
PI-NPZ,baseline,Computational Time (s),1.1028876304626465
PI-NPZ,baseline,Computational Time (s),1.5515129566192627
PI-NPZ,baseline,Computational Time (s),1.0602071285247803
PI-NPZ,baseline,Computational Time (s),1.1427240371704102
PI-NPZ,baseline,Computational Time (s),1.1590311527252197
PI-NPZ,baseline,Computational Time (s),1.1548542976379395
PI-NPZ,baseline,Computational Time (s),1.1286015510559082
PI-NPZ,baseline,Computational Time (s),1.1227407455444336
PI-NPZ,baseline,Computational Time (s),1.0508103370666504
PI-NPZ,baseline,Computational Time (s),1.1470763683319092
PI-NPZ,baseline,Computational Time (s),1.3546671867370605
PI-NPZ,baseline,Computational Time (s),0.9850716590881348
PI-NPZ,baseline,Computational Time (s),1.0243475437164307
PI-NPZ,baseline,Computational Time (s),1.036985158920288
PI-NPZ,baseline,Computational Time (s),1.0177123546600342
PI-NPZ,baseline,Computational Time (s),1.3411808013916016
PI-NPZ,baseline,Computational Time (s),1.4659416675567627
PI-NPZ,baseline,Computational Time (s),1.077697992324829
PI-NPZ,baseline,Computational Time (s),0.9936456680297852
PI-NPZ,baseline,Computational Time (s),1.2512495517730713
PI-NPZ,baseline,Computational Time (s),1.1291985511779785
PI-NPZ,baseline,Computational Time (s),0.9808650016784668
PI-NPZ,baseline,Computational Time (s),1.0780274868011475
PI-NPZ,baseline,Computational Time (s),0.9024076461791992
PI-NPZ,baseline,Computational Time (s),1.1436374187469482
PI-NPZ,baseline,Computational Time (s),1.2974071502685547
PI-NPZ,baseline,Computational Time (s),1.0243840217590332
PI-NPZ,baseline,Computational Time (s),0.9671025276184082
PI-NPZ,baseline,Computational Time (s),1.0404078960418701
PI-NPZ,baseline,Computational Time (s),0.9742259979248047
PI-NPZ,baseline,Computational Time (s),0.9792859554290771
PI-NPZ,baseline,Computational Time (s),1.1073286533355713
PI-NPZ,baseline,Computational Time (s),1.5101754665374756
PI-NPZ,baseline,Computational Time (s),1.0402424335479736
PI-NPZ,baseline,Computational Time (s),1.191802740097046
PI-NPZ,baseline,Computational Time (s),0.965247631072998
PI-NPZ,baseline,Computational Time (s),1.0512480735778809
PI-NPZ,baseline,Computational Time (s),1.1019625663757324
PI-NPZ,baseline,Computational Time (s),0.9915046691894531
PI-NPZ,baseline,Computational Time (s),0.9831006526947021
PI-NPZ,baseline,Computational Time (s),1.3455886840820312
PI-NPZ,baseline,Computational Time (s),1.0485343933105469
PI-NPZ,baseline,Computational Time (s),1.1443438529968262
PI-NPZ,baseline,Computational Time (s),1.2097396850585938
PI-NPZ,baseline,Computational Time (s),1.022308349609375
