dataset,method,index,jo_b,jb_b,J_total_b,jo_a,jb_a,J_total_a,misfitb,misfita,Improvement,pct_drop_J,pct_drop_Jo,pct_drop_Jb,cg_iterations,converged,exit_code,runtime,log_runtime,jo_jb_ratio,log_jo_jb_ratio,pct_drop_J_100
baseline,NN-NPZ,23,1208.9275381870705,1.3695501826753677e-27,604.4637690935352,666.3263452025964,13.519353639054966,339.9228494208257,3.837419780629567,2.834519800614766,26.134747756219294,0.4376456178166309,0.4488285491437879,-9.871382451021538e+27,68,1,0,1.22296142578125,0.08741275888866003,49.28684928232813,1.6927310562753508,43.76456178166309
baseline,NN-NPZ,24,867.5026769935108,0.0,433.7513384967554,540.6338064309763,47.12997126188759,293.88188884643193,4.0391991678529005,3.392992750758442,15.99837963518792,0.3224645948876299,0.3767929243692462,,54,1,0,0.9695689678192139,-0.01342129305459361,11.471125314862403,1.0596060241839875,32.246459488762994
baseline,NN-NPZ,25,129.40712438208203,1.3695501826753677e-27,64.70356219104102,78.02176210021533,4.757647146126028,41.38970462317068,1.6627530975724691,1.1647529519759192,29.95033636224185,0.3603179914428022,0.39708294676379985,-3.4738757340254106e+27,62,1,0,1.1449339389801025,0.05878042924003063,16.39923258364074,1.2148235253350026,36.03179914428022
baseline,NN-NPZ,26,1586.0020099994767,0.0,793.0010049997384,882.3006519115894,38.08352285708242,460.19208738433593,6.0512751045426985,4.780077942181466,21.00709586657106,0.4196828446837999,0.4436951237458517,,52,1,0,0.9427688121795654,-0.025594792845159274,23.167516703290154,1.364879484810411,41.96828446837999
baseline,NN-NPZ,27,377.8753615156866,0.0,188.9376807578433,266.75940265766275,21.017632912015472,143.8885177848391,3.4808690143769296,2.7012854962766686,22.396232517810077,0.2384339788247035,0.294054522137483,,63,1,0,1.1341702938079834,0.05467826805646525,12.692171557776152,1.1035359337476278,23.84339788247035
baseline,NN-NPZ,28,509.2693088170567,1.3695501826753677e-27,254.63465440852835,380.4218753192285,28.895266414885874,204.6585708670572,4.109549913768552,3.427633286329471,16.5934625870926,0.1962658368616669,0.2530045130681804,-2.1098362645200775e+28,55,1,0,0.9886410236358643,-0.004961372462098114,13.165543098202683,1.1194387791038878,19.62658368616669
baseline,NN-NPZ,29,1034.1080880056304,0.0,517.0540440028152,626.5090141684987,31.326423673207692,328.9177189208532,3.8266116273455104,3.0739906925133376,19.668077352136724,0.3638620126157212,0.3941551937991539,,55,1,0,0.999049186706543,-0.00041312940227124597,19.999378821666394,1.3010165067383763,36.38620126157212
baseline,NN-NPZ,30,8286.873967104535,0.0,4143.4369835522675,4555.343440618642,127.33355031779851,2341.33849546822,9.324328215828615,6.9643736694676965,25.30964689075136,0.43492841697306694,0.4502941086468224,,52,1,0,0.968980073928833,-0.013685153673415544,35.77488752374716,1.5535782770120308,43.492841697306694
baseline,NN-NPZ,31,4822.230236022888,0.0,2411.115118011444,2629.225370292736,43.730421238487594,1336.4778957656117,7.607562261978333,5.503583485266419,27.656412189057498,0.44570133305461346,0.4547698385174621,,55,1,0,0.9929966926574707,-0.003052197993040028,60.12348602713041,1.7790441535258992,44.57013330546135
baseline,NN-NPZ,32,848.6880636088862,1.3695501826753677e-27,424.3440318044431,503.02626418329777,38.08662856940264,270.5564463763502,3.7215673281040633,3.042683952610188,18.241867354304446,0.3624125094304735,0.4072895734573274,-2.7809589638403585e+28,53,1,0,0.9538857936859131,-0.020503619154478438,13.207424313408776,1.1208181305940248,36.24125094304735
baseline,NN-NPZ,33,3459.486880176716,1.9259299443872359e-28,1729.743440088358,1837.6171438977801,47.06947738675947,942.3433106422698,6.126342457261364,4.447274561284801,27.40734635208673,0.45521209168792487,0.4688180046504724,-2.4439869956814734e+29,51,1,0,0.9493374824523926,-0.022579371648550357,39.04052574874556,1.591515657566417,45.52120916879249
baseline,NN-NPZ,34,127.08095915508098,4.8148248609680896e-29,63.54047957754049,96.02412475181042,9.172806923949013,52.598465837879715,2.1085463774401254,1.6116395859012362,23.566320231578565,0.1722054005951888,0.24438621340094627,-1.905117463006679e+29,60,1,0,1.0930912494659424,0.03865641765455326,10.46834688094261,1.0198781050629206,17.22054005951888
baseline,NN-NPZ,35,721.9272282105219,1.9259299443872359e-28,360.96361410526094,495.6664075354606,18.183780018220276,256.92509377684047,4.231729321589232,3.4952634206064697,17.403426472139806,0.2882243978698687,0.3134122274843485,-9.44155838648935e+28,61,1,0,1.1046960353851318,0.0432427953831107,27.258711172198485,1.4355053179684083,28.82243978698687
baseline,NN-NPZ,36,596.7534717344513,4.8148248609680896e-29,298.37673586722565,333.64359786967754,11.53249846550319,172.58804816759036,3.164155224720855,2.303607103108658,27.196773245791544,0.4215767269322561,0.44090212512723304,-2.3952062221395974e+29,56,1,0,1.0091338157653809,0.003948759492746926,28.930729873296357,1.4613593903001305,42.157672693225614
baseline,NN-NPZ,37,1750.3782837661179,1.4176984312850486e-27,875.1891418830589,1058.8228549026292,35.10377402843283,546.963314465531,5.562637304874809,4.333641203446147,22.09376657276635,0.37503416314251403,0.39508912746308555,-2.4761100988602784e+28,53,1,0,0.9847400188446045,-0.0066784124306555,30.16265014824388,1.4794694968195852,37.5034163142514
baseline,NN-NPZ,38,4746.207689664255,0.0,2373.1038448321274,2517.8679723864725,60.11565168156994,1288.9918120340212,7.572698785432409,5.54651324801868,26.756452287677135,0.4568329511407437,0.46949899013698965,,48,1,0,0.8782832622528076,-0.0563653936688088,41.88373413505541,1.6220453941614206,45.68329511407437
baseline,NN-NPZ,39,2527.1958406759504,0.0,1263.5979203379752,1119.798049435625,62.45636198729126,591.1272057114581,7.864410653242501,5.285834309523192,32.78791580722149,0.5321872597310472,0.5569009605776686,,66,1,0,1.1936419010162354,0.07687405565535087,17.92928716634958,1.2535630231999433,53.21872597310472
baseline,NN-NPZ,40,720.9299297265559,0.0,360.46496486327794,422.982419912587,22.613764771165577,222.79809234187627,3.1185416098861696,2.466559017693581,20.906650407540553,0.3819147100013391,0.4132822033439207,,55,1,0,0.9958868026733398,-0.0017900227893196477,18.704644016281826,1.2719494471915016,38.19147100013391
baseline,NN-NPZ,41,4862.848525952553,1.9259299443872359e-28,2431.4242629762766,2562.772507088854,97.38163920612712,1330.0770731474906,9.208327943039276,7.096487016767869,22.934032533754205,0.45296380668696645,0.47298944365394385,-5.056343793289459e+29,51,1,0,0.954118013381958,-0.020397904760507166,26.316793678778083,1.4202329756547714,45.29638066869664
