method,dataset,metric,value
NN-NPZ,baseline,Computational Time (s),1.3843374252319336
NN-NPZ,baseline,Computational Time (s),0.9858238697052002
NN-NPZ,baseline,Computational Time (s),1.0729503631591797
NN-NPZ,baseline,Computational Time (s),1.23337721824646
NN-NPZ,baseline,Computational Time (s),1.1548266410827637
NN-NPZ,baseline,Computational Time (s),0.9310898780822754
NN-NPZ,baseline,Computational Time (s),1.0283215045928955
NN-NPZ,baseline,Computational Time (s),0.9347891807556152
NN-NPZ,baseline,Computational Time (s),0.9350559711456299
NN-NPZ,baseline,Computational Time (s),1.1236190795898438
NN-NPZ,baseline,Computational Time (s),1.0135302543640137
NN-NPZ,baseline,Computational Time (s),1.027224063873291
NN-NPZ,baseline,Computational Time (s),0.992560863494873
NN-NPZ,baseline,Computational Time (s),0.8664731979370117
NN-NPZ,baseline,Computational Time (s),0.9031710624694824
NN-NPZ,baseline,Computational Time (s),0.9387509822845459
NN-NPZ,baseline,Computational Time (s),1.3561358451843262
NN-NPZ,baseline,Computational Time (s),1.0614628791809082
NN-NPZ,baseline,Computational Time (s),1.2040491104125977
NN-NPZ,baseline,Computational Time (s),1.0501580238342285
NN-NPZ,baseline,Computational Time (s),0.9450967311859131
NN-NPZ,baseline,Computational Time (s),1.0183813571929932
NN-NPZ,baseline,Computational Time (s),1.0450851917266846
NN-NPZ,baseline,Computational Time (s),0.9941689968109131
NN-NPZ,baseline,Computational Time (s),1.2740809917449951
NN-NPZ,baseline,Computational Time (s),0.9836997985839844
NN-NPZ,baseline,Computational Time (s),1.0758321285247803
NN-NPZ,baseline,Computational Time (s),1.0510056018829346
NN-NPZ,baseline,Computational Time (s),1.07763671875
NN-NPZ,baseline,Computational Time (s),1.0333726406097412
NN-NPZ,baseline,Computational Time (s),1.0154051780700684
NN-NPZ,baseline,Computational Time (s),1.3551928997039795
NN-NPZ,baseline,Computational Time (s),1.2841768264770508
NN-NPZ,baseline,Computational Time (s),1.273472785949707
NN-NPZ,baseline,Computational Time (s),1.1103343963623047
NN-NPZ,baseline,Computational Time (s),1.3616795539855957
NN-NPZ,baseline,Computational Time (s),1.0775032043457031
NN-NPZ,baseline,Computational Time (s),1.0250978469848633
NN-NPZ,baseline,Computational Time (s),1.240652084350586
NN-NPZ,baseline,Computational Time (s),1.1248772144317627
NN-NPZ,baseline,Computational Time (s),1.1537292003631592
NN-NPZ,baseline,Computational Time (s),1.2415874004364014
NN-NPZ,baseline,Computational Time (s),1.1293225288391113
NN-NPZ,baseline,Computational Time (s),1.125845193862915
NN-NPZ,baseline,Computational Time (s),1.004258632659912
NN-NPZ,baseline,Computational Time (s),1.1373772621154785
NN-NPZ,baseline,Computational Time (s),0.9621233940124512
NN-NPZ,baseline,Computational Time (s),1.0557529926300049
NN-NPZ,baseline,Computational Time (s),0.9110424518585205
NN-NPZ,baseline,Computational Time (s),1.1734724044799805
NN-NPZ,baseline,Computational Time (s),1.4343359470367432
NN-NPZ,baseline,Computational Time (s),1.0638961791992188
NN-NPZ,baseline,Computational Time (s),0.9892435073852539
NN-NPZ,baseline,Computational Time (s),1.1514501571655273
NN-NPZ,baseline,Computational Time (s),1.05112624168396
NN-NPZ,baseline,Computational Time (s),1.0389759540557861
NN-NPZ,baseline,Computational Time (s),1.0065569877624512
NN-NPZ,baseline,Computational Time (s),0.9102647304534912
NN-NPZ,baseline,Computational Time (s),0.9716043472290039
NN-NPZ,baseline,Computational Time (s),0.881744384765625
NN-NPZ,baseline,Computational Time (s),0.9662208557128906
NN-NPZ,baseline,Computational Time (s),1.0036795139312744
NN-NPZ,baseline,Computational Time (s),1.1679468154907227
NN-NPZ,baseline,Computational Time (s),0.8700952529907227
NN-NPZ,baseline,Computational Time (s),1.2139945030212402
NN-NPZ,baseline,Computational Time (s),1.1537964344024658
NN-NPZ,baseline,Computational Time (s),1.201223611831665
NN-NPZ,baseline,Computational Time (s),0.9637198448181152
NN-NPZ,baseline,Computational Time (s),0.9589812755584717
NN-NPZ,baseline,Computational Time (s),0.956409215927124
NN-NPZ,baseline,Computational Time (s),0.8824217319488525
NN-NPZ,baseline,Computational Time (s),1.3018097877502441
